archivo,clase,dur_s,n_seg,score_full,suena_full,best_seg_score,seg_ini_s,seg_fin_s,suena_seg,mejora,estado,recorte
ED_04_ENO_S.ogg,Enojo,40.6,8,0.176,Enojo,0.815,20.0,30.0,Enojo,0.638,OK,outputs/mejores_segmentos/Enojo/ED_04_ENO_S_top20-30s.wav
MT_02_ENO.ogg,Enojo,30.8,6,0.211,Tranquilidad,0.7,5.0,15.0,Enojo,0.489,RESCATADO,outputs/mejores_segmentos/Enojo/MT_02_ENO_top5-15s.wav
ED_03_ENO_S.ogg,Enojo,36.3,7,0.35,Enojo,0.815,5.0,15.0,Enojo,0.465,OK,outputs/mejores_segmentos/Enojo/ED_03_ENO_S_top5-15s.wav
VA_01_ENO.ogg,Enojo,26.1,5,0.327,Enojo,0.599,5.0,15.0,Enojo,0.272,OK,outputs/mejores_segmentos/Enojo/VA_01_ENO_top5-15s.wav
MT_05_ENO.ogg,Enojo,37.1,7,0.173,Tranquilidad,0.429,10.0,20.0,Enojo,0.255,SIN_RESCATE,outputs/mejores_segmentos/Enojo/MT_05_ENO_top10-20s.wav
VZ_02_ENO.ogg,Enojo,34.9,6,0.709,Enojo,0.939,10.0,20.0,Enojo,0.23,OK,outputs/mejores_segmentos/Enojo/VZ_02_ENO_top10-20s.wav
ED_01_ENO_S.ogg,Enojo,34.7,6,0.179,Tranquilidad,0.312,5.0,15.0,Enojo,0.133,SIN_RESCATE,outputs/mejores_segmentos/Enojo/ED_01_ENO_S_top5-15s.wav
ED_02_ENO_S.ogg,Enojo,29.5,5,0.42,Enojo,0.525,5.0,15.0,Enojo,0.105,OK,outputs/mejores_segmentos/Enojo/ED_02_ENO_S_top5-15s.wav
ED_01_FEL.ogg,Enojo,29.5,5,0.42,Enojo,0.493,5.0,15.0,Enojo,0.073,OK,outputs/mejores_segmentos/Enojo/ED_01_FEL_top5-15s.wav
ED_05_ENO_S.ogg,Enojo,21.3,4,0.718,Enojo,0.718,0.0,10.0,Enojo,0.0,OK,outputs/mejores_segmentos/Enojo/ED_05_ENO_S_top0-10s.wav
MT_03_ENO.ogg,Enojo,30.2,6,0.578,Enojo,0.578,0.0,10.0,Enojo,0.0,OK,outputs/mejores_segmentos/Enojo/MT_03_ENO_top0-10s.wav
MT_10_ENO.ogg,Enojo,31.1,6,0.487,Enojo,0.487,0.0,10.0,Enojo,0.0,OK,outputs/mejores_segmentos/Enojo/MT_10_ENO_top0-10s.wav
SG_01_ENO.ogg,Enojo,26.7,5,0.274,Enojo,0.274,0.0,10.0,Enojo,0.0,OK,outputs/mejores_segmentos/Enojo/SG_01_ENO_top0-10s.wav
SG_01_FEL.ogg,Enojo,26.7,5,0.464,Enojo,0.464,0.0,10.0,Enojo,0.0,OK,outputs/mejores_segmentos/Enojo/SG_01_FEL_top0-10s.wav
SG_06_ENO.ogg,Enojo,26.7,5,0.274,Enojo,0.274,0.0,10.0,Enojo,0.0,OK,outputs/mejores_segmentos/Enojo/SG_06_ENO_top0-10s.wav
VA_13_ENO.mpeg,Enojo,31.6,6,0.17,Tranquilidad,0.17,0.0,10.0,Tranquilidad,0.0,SIN_RESCATE,outputs/mejores_segmentos/Enojo/VA_13_ENO_top0-10s.wav
VZ_03_FEL.ogg,Enojo,29.7,5,0.537,Enojo,0.537,0.0,10.0,Enojo,0.0,OK,outputs/mejores_segmentos/Enojo/VZ_03_FEL_top0-10s.wav
ED_03_FEL.ogg,Feliz,33.5,6,0.334,Tranquilidad,0.668,10.0,20.0,Feliz,0.334,RESCATADO,outputs/mejores_segmentos/Feliz/ED_03_FEL_top10-20s.wav
MT_03_FEL.ogg,Feliz,28.5,5,0.38,Feliz,0.703,15.0,25.0,Feliz,0.322,OK,outputs/mejores_segmentos/Feliz/MT_03_FEL_top15-25s.wav
VZ_05_FEL.ogg,Feliz,40.0,8,0.335,Tranquilidad,0.505,20.0,30.0,Feliz,0.17,RESCATADO,outputs/mejores_segmentos/Feliz/VZ_05_FEL_top20-30s.wav
