archivo,clase_etiqueta,recolector,arousal,valence,dominance,score_Enojo,score_Feliz,score_Tranquilidad,score_Tristeza,score_propio,suena_a,score_suena_a,delta
VA_13_ENO_top0-10s.wav,Enojo,VA,0.547,0.48,0.583,0.17,0.108,0.393,0.06,0.17,Tranquilidad,0.393,0.223
SG_02_FEL_top0-10s.wav,Feliz,SG,0.603,0.524,0.605,0.204,0.201,0.278,0.025,0.201,Tranquilidad,0.278,0.077
VZ_07_TRI_top0-10s.wav,Tristeza,VZ,0.309,0.399,0.371,0.006,0.005,0.633,0.626,0.626,Tranquilidad,0.633,0.007
VZ_08_FEL_top0-10s.wav,Feliz,VZ,0.718,0.562,0.705,0.314,0.32,0.08,0.003,0.32,Enojo,0.314,-0.005
ED_04_FEL_top20-30s.wav,Feliz,ED,0.609,0.568,0.622,0.175,0.287,0.267,0.015,0.287,Tranquilidad,0.267,-0.02
SG_01_ENO_top0-10s.wav,Enojo,SG,0.609,0.443,0.579,0.274,0.098,0.237,0.041,0.274,Tranquilidad,0.237,-0.037
SG_06_ENO_top0-10s.wav,Enojo,SG,0.609,0.443,0.579,0.274,0.098,0.237,0.041,0.274,Tranquilidad,0.237,-0.037
VA_12_TRI_top0-10s.wav,Tristeza,VA,0.241,0.425,0.343,0.002,0.002,0.614,0.658,0.658,Tranquilidad,0.614,-0.044
MT_01_TRA_top0-10s.wav,Tristeza,MT,0.258,0.418,0.341,0.002,0.003,0.613,0.665,0.665,Tranquilidad,0.613,-0.052
ED_01_TRI_top0-10s.wav,Tristeza,ED,0.306,0.383,0.375,0.006,0.004,0.605,0.666,0.666,Tranquilidad,0.605,-0.062
ED_04_TRA_S_top0-10s.wav,Tranquilidad,ED,0.55,0.651,0.572,0.06,0.368,0.431,0.016,0.431,Feliz,0.368,-0.063
ED_01_ENO_S_top5-15s.wav,Enojo,ED,0.598,0.435,0.62,0.312,0.087,0.236,0.04,0.312,Tranquilidad,0.236,-0.076
MT_04_TRI_top0-10s.wav,Tristeza,MT,0.331,0.369,0.371,0.008,0.004,0.564,0.649,0.649,Tranquilidad,0.564,-0.085
MT_10_TRI_top15-25s.wav,Tristeza,MT,0.333,0.347,0.411,0.013,0.004,0.554,0.645,0.645,Tranquilidad,0.554,-0.091
