archivo,recolector,clase_real,pred_svm_lineal,pred_logreg,pred_svm_rbf,pred_rf,pred_knn_k5,pred_knn_k3,n_modelos_correctos,n_modelos_totales,modelos_fallidos
ED_03_ENO_S.ogg,ED,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
ED_04_ENO_S.ogg,ED,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
VZ_02_ENO.ogg,VZ,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
MT_05_ENO.ogg,MT,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
MT_03_ENO.ogg,MT,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
MT_10_ENO.ogg,MT,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
SG_01_ENO.ogg,SG,Enojo,Enojo,Enojo,Enojo,Enojo,Tranquilidad,Tranquilidad,4,6,knn_k5;knn_k3
SG_06_ENO.ogg,SG,Enojo,Enojo,Enojo,Enojo,Enojo,Tranquilidad,Tranquilidad,4,6,knn_k5;knn_k3
MT_02_ENO.ogg,MT,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
MT_07_ENO.ogg,MT,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
ED_02_ENO_S.ogg,ED,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,6,6,
SG_07_ENO.mp4,SG,Enojo,Tranquilidad,Enojo,Enojo,Tranquilidad,Tranquilidad,Enojo,3,6,svm_lineal;rf;knn_k5
VA_13_ENO.mpeg,VA,Enojo,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,0,6,svm_lineal;logreg;svm_rbf;rf;knn_k5;knn_k3
VZ_08_ENO.ogg,VZ,Enojo,Enojo,Enojo,Enojo,Enojo,Tranquilidad,Tranquilidad,4,6,knn_k5;knn_k3
ED_01_ENO_S.ogg,ED,Enojo,Enojo,Enojo,Enojo,Enojo,Enojo,Tranquilidad,5,6,knn_k3
VZ_10_TRA.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VZ_10_ENO.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VZ_07_ENO.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VZ_03_ENO.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
ED_02_TRA_S.ogg,ED,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
SG_04_ENO.ogg,SG,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
ED_01_TRA.ogg,ED,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
ED_05_TRA.ogg,ED,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VA_07_ENO.ogg,VA,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VZ_03_TRA.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
ED_02_TRI_S.ogg,ED,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VZ_09_TRA.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VZ_06_ENO.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VZ_05_ENO.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
VZ_01_FEL.ogg,VZ,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,Tranquilidad,6,6,
